City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Severo-Kurilsk,RU,50.6789,156.125,29.25,73,87,26.73,overcast clouds
217,Naini Tal,IN,29.3974,79.4469,59.04,28,35,8.14,scattered clouds
218,Udachnyy,RU,66.4167,112.4,15.76,93,95,17.72,overcast clouds
219,Peniche,PT,39.3558,-9.3811,71.29,75,1,13.73,clear sky
220,General Pico,AR,-35.6566,-63.7568,64.81,40,0,7.81,clear sky
221,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,4.61,broken clouds
222,Carnarvon,AU,-24.8667,113.6333,75.27,78,0,12.66,clear sky
223,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,68,40,18.66,scattered clouds
224,Acapulco,MX,16.8634,-99.8901,78.62,83,75,4.61,broken clouds
225,Northam,GB,51.0333,-4.2167,62.26,71,100,4.72,overcast clouds
226,Souillac,MU,-20.5167,57.5167,79.18,78,75,17.27,broken clouds
227,Ust-Omchug,RU,61.15,149.6333,3.51,94,100,3.38,overcast clouds
228,Marzuq,YE,14.4,46.4667,81.34,14,3,14.14,clear sky
229,Mezen,RU,65.8522,44.24,28.65,80,78,7.78,broken clouds
230,London,GB,51.5085,-0.1257,67.55,52,75,2.3,broken clouds
231,Nemuro,JP,43.3236,145.575,34.25,84,100,8.01,overcast clouds
232,Maumere,ID,-8.6199,122.2111,80.56,81,98,3.42,overcast clouds
233,Dakar,SN,14.6937,-17.4441,83.28,73,0,13.8,clear sky
234,Tiksi,RU,71.6872,128.8694,-1.44,100,100,6.24,overcast clouds
235,Aripuana,BR,-9.1667,-60.6333,89.29,59,69,3.56,broken clouds
236,Namibe,AO,-15.1961,12.1522,84.83,70,20,11.5,few clouds
237,Ikryanoye,RU,46.0932,47.7308,57.18,43,21,16.22,few clouds
238,Ayan,RU,56.45,138.1667,23.18,77,12,9.46,few clouds
239,Hashtrud,IR,37.4779,47.0508,56.21,23,37,16.15,scattered clouds
240,Luau,AO,-10.7073,22.2247,79.81,69,94,2.06,overcast clouds
241,Leningradskiy,RU,69.3833,178.4167,6.28,96,100,11.52,overcast clouds
242,Norsup,VU,-16.0667,167.3833,80.51,81,13,7.43,few clouds
243,Penzance,GB,50.1186,-5.5371,59.68,88,20,16.11,fog
244,Zhigansk,RU,66.7697,123.3711,27.19,97,100,13.53,light snow
245,Senanga,ZM,-16.1167,23.2667,82.38,51,95,2.53,overcast clouds
246,Xichang,CN,27.8964,102.2634,61.61,93,93,0.51,overcast clouds
247,Padang,ID,-0.9492,100.3543,79.14,86,99,1.9,moderate rain
248,Vestmanna,FO,62.1564,-7.1664,45.52,76,75,25.32,broken clouds
249,Teguise,ES,29.0605,-13.564,68.22,56,20,28.77,few clouds
250,Ilorin,NG,8.5,4.55,89.96,55,0,13.8,clear sky
251,Plouzane,FR,48.3833,-4.6167,68.32,59,0,14.97,clear sky
252,Berdigestyakh,RU,62.0989,126.6992,25.18,98,100,3.87,overcast clouds
253,Ancud,CL,-41.8697,-73.8203,55.27,72,5,3.38,clear sky
254,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,20.71,broken clouds
255,Gold Coast,AU,-28.0,153.4333,66.0,95,75,8.05,heavy intensity shower rain
256,Hit,IQ,33.6416,42.8251,75.58,12,73,12.5,broken clouds
257,Charlottesville,US,38.0293,-78.4767,77.41,63,0,12.66,clear sky
258,Quatre Cocos,MU,-20.2078,57.7625,80.1,82,46,21.25,light rain
259,Shingu,JP,33.7333,135.9833,62.91,98,100,8.84,moderate rain
260,Rocha,UY,-34.4833,-54.3333,66.81,42,2,14.41,clear sky
261,Yumen,CN,40.2833,97.2,50.79,8,1,8.7,clear sky
262,Egvekinot,RU,66.3167,-179.1667,17.98,94,100,8.93,light snow
263,Cherskiy,RU,68.75,161.3,14.7,96,100,4.07,overcast clouds
264,Bilma,NE,18.6853,12.9164,105.51,4,41,11.83,scattered clouds
265,Rawson,AR,-43.3002,-65.1023,71.8,25,16,17.38,few clouds
266,Sindou,BF,10.6667,-5.1667,99.46,24,100,4.32,overcast clouds
267,Norman Wells,CA,65.282,-126.8329,12.24,79,75,13.8,light snow
268,Zhangye,CN,38.9342,100.4517,53.51,22,96,7.18,overcast clouds
269,Necochea,AR,-38.5473,-58.7368,62.1,47,0,1.23,clear sky
270,Luderitz,NA,-26.6481,15.1594,66.56,69,34,24.61,scattered clouds
271,Nadadores,MX,27.05,-101.6,75.24,20,71,4.94,broken clouds
272,Bay Roberts,CA,47.5999,-53.2648,40.03,61,99,8.01,overcast clouds
273,Provideniya,RU,64.3833,-173.3,29.43,96,100,8.97,light snow
274,Cabo San Lucas,MX,22.8909,-109.9124,72.52,64,100,0.81,overcast clouds
275,Nurobod,UZ,40.9056,69.8023,65.77,53,0,1.01,clear sky
276,Leua,SK,48.2156,18.6071,64.58,41,19,7.02,few clouds
277,Shimoda,JP,34.6667,138.95,53.1,89,100,15.35,overcast clouds
278,Pundaguitan,PH,6.3711,126.1689,82.67,77,100,8.86,overcast clouds
279,Naze,JP,28.3667,129.4833,68.92,89,16,6.17,few clouds
280,Ulaanbaatar,MN,47.9077,106.8832,26.73,63,0,4.47,clear sky
281,Te Anau,NZ,-45.4167,167.7167,47.35,90,98,0.51,moderate rain
282,Murray Bridge,AU,-35.1167,139.2667,66.13,88,100,4.45,overcast clouds
283,Maneadero,MX,31.7167,-116.5667,59.4,45,82,5.75,broken clouds
284,San Martin,AR,-33.081,-68.4681,63.14,40,0,9.1,clear sky
285,Jishou,CN,28.3167,109.7167,52.93,92,100,9.31,overcast clouds
286,Harper,LR,4.375,-7.7169,85.5,67,85,11.74,overcast clouds
287,Yar-Sale,RU,66.8333,70.8333,34.05,100,100,8.84,overcast clouds
288,Novokayakent,RU,42.3937,47.9861,49.21,77,72,7.36,broken clouds
289,Henties Bay,NA,-22.116,14.2845,62.89,79,56,11.52,broken clouds
290,Maceio,BR,-9.6658,-35.7353,89.04,55,20,9.22,few clouds
291,Bama,NG,11.5221,13.6856,105.21,13,100,4.43,overcast clouds
292,Coihaique,CL,-45.5752,-72.0662,47.01,76,88,4.41,overcast clouds
293,Silver City,US,32.7701,-108.2803,54.68,9,0,4.61,clear sky
294,Petrolina,BR,-9.3986,-40.5008,87.85,58,75,4.61,light rain
295,Maine-Soroa,NE,13.2114,12.0241,105.04,11,98,7.16,overcast clouds
296,Tura,IN,25.5198,90.2201,75.11,72,18,15.37,few clouds
297,Isiro,CD,2.7739,27.616,80.47,64,89,2.17,light rain
298,Norfolk,US,42.1668,-71.2495,58.3,75,100,6.91,overcast clouds
299,Tuatapere,NZ,-46.1333,167.6833,48.2,90,78,3.83,broken clouds
300,Salinas,US,36.6777,-121.6555,52.83,67,100,3.44,overcast clouds
301,Port Hardy,CA,50.6996,-127.4199,39.2,100,75,5.75,broken clouds
302,Cockburn Town,TC,21.4612,-71.1419,77.63,78,53,23.04,broken clouds
303,Svetlogorsk,BY,52.6333,29.7333,54.48,45,54,4.47,broken clouds
304,Motygino,RU,58.1831,94.7592,27.95,94,80,3.33,broken clouds
305,Baikunthpur,IN,23.25,82.55,86.74,21,76,2.89,broken clouds
306,Huanren,CN,41.2647,125.3667,46.69,70,100,4.21,overcast clouds
307,Champerico,GT,14.3,-91.9167,86.54,61,65,6.82,broken clouds
308,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,66,81,8.77,broken clouds
309,Bengkulu,ID,-3.8004,102.2655,78.3,85,95,3.56,overcast clouds
310,Kolondieba,ML,11.0882,-6.8926,104.43,17,92,5.1,overcast clouds
311,Kibala,TD,9.1104,18.3463,93.15,40,0,16.11,clear sky
312,Caibarien,CU,22.5206,-79.4669,81.72,70,33,11.79,scattered clouds
313,Poronaysk,RU,49.2167,143.1167,30.16,88,100,9.69,snow
314,Superior,US,46.7208,-92.1041,31.48,80,100,16.11,snow
315,Bay City,US,43.5945,-83.8889,44.92,61,0,17.27,clear sky
316,Codrington,AU,-38.2667,141.9667,59.32,53,99,8.05,overcast clouds
317,Salalah,OM,17.0151,54.0924,84.29,74,0,11.5,clear sky
318,Wexford,IE,52.3342,-6.4575,56.12,87,100,12.26,overcast clouds
319,Lakselv,NO,70.0513,24.9718,39.02,56,100,4.61,overcast clouds
320,Poum,NC,-20.2333,164.0167,75.69,86,76,5.59,broken clouds
321,Kruisfontein,ZA,-34.0033,24.7314,66.88,87,100,11.32,light rain
322,Rio Pardo,BR,-29.9897,-52.3781,67.93,43,5,6.73,clear sky
323,Piterka,RU,50.6803,47.4454,43.05,90,100,15.97,light rain
324,Port Keats,AU,-14.25,129.55,81.97,81,97,3.89,overcast clouds
325,Cap Malheureux,MU,-19.9842,57.6142,80.47,76,9,11.99,clear sky
326,Carndonagh,IE,55.25,-7.2667,58.62,94,100,7.05,overcast clouds
327,Okha,RU,53.5739,142.9478,19.92,95,49,7.74,scattered clouds
328,Ganta,LR,7.3022,-8.5308,90.73,44,59,3.44,broken clouds
329,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.46,99,100,3.47,overcast clouds
330,Sobolevo,RU,54.4299,31.8996,51.1,50,25,3.44,scattered clouds
331,Trabzon,TR,40.9167,39.8333,44.69,66,75,4.61,broken clouds
332,Faribault,US,44.295,-93.2688,29.71,63,100,28.77,overcast clouds
333,Marion,US,39.7684,-86.1555,47.39,68,0,9.22,clear sky
334,La Asuncion,VE,11.0333,-63.8628,80.26,74,5,19.64,clear sky
335,Filingue,NE,14.3521,3.3168,106.63,17,78,10.8,broken clouds
336,Tiznit,MA,29.5833,-9.5,76.17,34,0,9.06,clear sky
337,Tingo Maria,PE,-9.2895,-76.0088,70.11,100,100,3.44,mist
338,Casablanca,MA,33.5928,-7.6192,73.62,68,20,6.91,few clouds
339,Roros,NO,62.5747,11.3842,39.04,86,0,9.22,clear sky
340,Pervomayskiy,RU,53.2485,40.2871,39.6,84,100,14.29,overcast clouds
341,Atambua,ID,-9.1061,124.8925,74.28,91,91,3.67,overcast clouds
342,San Juan Bautista,PE,-14.0108,-75.7358,75.25,48,25,3.85,scattered clouds
343,Meulaboh,ID,4.1363,96.1285,79.43,84,99,3.69,overcast clouds
344,Sokoto,NG,13.0609,5.239,104.97,18,100,9.64,overcast clouds
345,Bafut,CM,6.0833,10.1,71.08,82,96,1.79,light rain
346,Hukuntsi,BW,-24.0,21.75,85.5,14,0,4.94,clear sky
